"","Index","Experiment","b3_int","SE_int","b3_int_fastest","SE_int_fastest","b3_int_item","SE_int_item","b3_int_fastest_item","SE_int_fastest_item","n.trials","nb_participants","cor_est_slowest","cor_est_fastest","cor_est_sem_mean","cor_est_slowest_item","cor_est_fastest_item","cor_est_sem_mean_item","mean_trials_p","min_trials_p","num_items","quantile1","SE_quantile1","quantile2","SE_quantile2","quantile3","SE_quantile3","quantile4","SE_quantile4","quantile5","SE_quantile5","int_quant_sem","SE_int_quant_sem","meanRT","mean.slope","mean.slope_fastest"
"1",1,"Aristei.2011",61.46,14.46,-7.29,29.42,NA,NA,NA,NA,1161,30,0.74956264088632,-0.048585339403733,0.286343376299314,0.662178713766927,0.420228234895085,0.0357314897476575,38.7,33,25,-10.29,12.02,1.25,12.23,4.4,12.83,1.01,15.25,-12.43,51.87,1.89,6.34,753.912144702842,-0.0429893158671776,0.0806068338540594
"2",2,"Aristei.2013",29.47,20.42,-30.7,29.8,NA,NA,NA,NA,11351,30,0.261473987329224,0.0395993728910349,0.210762978745632,0.535448477223363,0.268426621733064,0.146582833294423,378.37,340,100,4.53,3.56,5.6,4.05,9.05,5.09,13.88,6.64,23.45,13.95,5.59,2.01,822.414765218923,0.0727354683581067,-0.00380810928548415
"3",3,"Cutting.1999.1",7.99,16.07,35.86,17.03,NA,NA,NA,NA,614,39,0.103229247841384,0.396526117576856,0.0832160899845471,0.430102964448008,0.13355240803702,0.261487881866354,15.74,11,27,28.95,11.6,44.85,15.2,60.81,17.07,65.81,23.62,76.22,27.7,12.11,5.19,869.57654723127,0.161880326072054,0.158558874848546
"4",4,"Cutting.1999.2",7.29,10.05,30.6,13.09,NA,NA,NA,NA,752,48,0.274330308112154,0.489989532393205,0.085156885171169,0.423841908386928,0.109545677395062,0.268227986153806,15.67,9,27,33.08,7.8,31.52,9.87,35.64,10.96,37.63,12.9,45.72,25.25,1.95,4.07,773.793882978723,0.0595061160243389,-0.122540746359272
"5",5,"Cutting.1999.3a.1",14.43,14.57,12.83,12.63,NA,NA,NA,NA,572,36,0.283121073573809,0.338474985808575,0.148633356734773,0.284300205014834,0.22384619349379,0.230520927749843,15.89,6,27,-4.39,15.86,30.81,15.26,41.28,17.14,44.74,20.02,60.1,32.77,14.44,5.53,829.671328671329,0.228535174226013,0.369359223692943
"6",6,"Cutting.1999.3a.2",37.04,13.97,22.83,14.88,NA,NA,NA,NA,578,35,0.492478496232173,0.21044474238196,0.128047245634036,0.417525370036168,0.143159099599075,0.25958365850566,16.51,12,27,-2.26,10.56,7.5,12.38,24.44,13.37,54.82,15.82,78.83,26.96,20.94,5.07,794.003460207612,0.286329709365459,0.16742842466475
"7",7,"Damian.2003.SOA-100",27.46,10.84,-21.95,16.94,NA,NA,NA,NA,981,28,0.650511365930136,-0.340398041312168,0.340464580288693,0.497827206889494,0.198266613164783,0.451562784667605,35.04,33,18,2.15,7.6,5.25,8.83,6.88,8.12,12.82,9.28,33.46,32.05,6.05,3.9,628.305810397554,0.120680817822597,0.116673864095444
"8",8,"Damian.2003.SOA0",25.49,10.23,2.31,24.53,NA,NA,NA,NA,970,28,0.506176384929195,-0.0189820453924777,0.164389876792617,0.493602546609111,0.203174513572172,0.442186359562243,34.64,32,18,2.3,7.34,11.39,8.46,13.21,7.91,23.13,9.48,41.15,28.1,7.98,3.73,659.231958762887,0.1230237035169,0.157589517324251
"9",9,"Damian.2003.SOA100",33.41,16.35,-9.73,20.44,NA,NA,NA,NA,954,28,0.535301324560639,-0.127156535745435,0.2991527341551,0.496132798626138,0.200076057861324,0.447116694088967,34.07,31,18,1.93,8.5,1.08,9.2,-10.37,9.03,-6.06,10.31,40.18,30.14,6.35,4.23,680.33857442348,0.289000866332373,-0.00633527711564821
"10",10,"Damian.2014",20.42,11.12,14.93,15.26,NA,NA,NA,NA,1765,48,0.348655455068786,0.187876932781548,0.315513465481691,0.579685205726161,0.557693581574751,0.448567163395638,36.77,30,20,12.01,7.36,17.82,8.01,28.09,8.54,47.17,11.43,61.41,31.84,13.61,3.65,695.912294617564,0.137187637215127,0.128325101275
